Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,336,,,,,
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction,175,,,,,
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,447,,,,,
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2013,Non Fiction,232,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,372,,,,,
The Book Thief,Markus Zusak,4.6,23148,6,2013,Fiction,552,,,,,
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,30,,,,,
The Fault in Our Stars,John Green,4.7,50482,13,2013,Fiction,313,,,,,
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,227,,,,,
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,Non Fiction,168,,,,,
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction,771,,,,,
